NAME                2012 BOY RANK  2012 GIRL RANK 2022 BOY RANK  2022 GIRL RANK 
Neil                623            -              765            -              
Nellie              -              -              -              663            
Nelson              560            -              797            -              
Neo                 -              -              947            -              
Neriah              -              -              -              993            
Nevaeh              -              39             -              95             
Neymar              699            -              -              -              
Nia                 -              462            -              600            
Nicholas            49             -              98             -              
Nickolas            565            -              -              -              
Nico                525            -              236            -              
Nicolas             180            -              191            -              
Nicole              -              114            -              322            
Niklaus             -              -              969            -              
Niko                690            -              287            -              
Nikolai             607            -              583            -              
Nikolas             488            -              598            -              
Nina                -              291            -              309            
Nixon               653            -              728            -              
Noa                 -              -              -              298            
Noah                4              -              2              618            
Noe                 591            -              756            -              
Noel                418            -              425            -              
Noelle              -              318            -              211            
Noemi               -              670            -              643            
Nola                -              802            -              630            
Nolan               88             -              65             -              
Noor                -              -              -              773            
Nora                -              107            -              28             
Norah               -              210            -              192            
Nori                -              -              -              934            
Nova                -              625            883            32             
Novah               -              -              -              697            
Novalee             -              -              -              815            
Nyla                -              328            -              241            
Nylah               -              445            -              430            
Nyomi               -              -              -              928            
Nyra                -              -              -              969            
Oaklee              -              -              -              468            
Oakleigh            -              -              -              524            
Oakley              880            -              394            157            
Oaklyn              -              -              -              526            
Oaklynn             -              -              -              159            
Ocean               -              -              604            759            
Octavia             -              -              -              249            
Odin                640            -              330            -              
Olive               -              368            -              158            
Oliver              73             -              3              -              
Olivia              -              4              -              1              
Omar                199            -              241            -              
Omari               711            -              536            -              
Onyx                -              -              355            -              
Opal                -              -              -              525            
Ophelia             -              -              -              272            
Orion               419            -              331            -              
Orlando             461            -              809            -              
Oscar               177            -              201            -              
Osiris              -              -              977            -              
Osman               -              -              972            -              
Osvaldo             754            -              -              -              
Otis                -              -              613            -              
Otto                785            -              309            -              
Owen                38             -              18             -              
Ozzy                -              -              620            -              
Pablo               367            -              413            -              
Paige               -              105            -              316            
Paislee             -              718            -              505            
Paisley             -              104            -              53             
Paityn              -              661            -              -              
Palmer              -              -              -              294            
Paloma              -              791            -              957            
Paola               -              575            -              984            
Paris               -              274            -              488            
Parker              80             315            94             115            
Patience            -              854            -              -              
Patricia            -              712            -              -              
Patrick             142            -              218            -              
Paul                193            -              262            -              
Paula               -              725            -              801            
Paulina             -              835            -              793            
Paxton              241            -              256            -              
Payton              458            103            -              289            
Pearl               -              756            -              756            
Pedro               317            -              415            -              
Penelope            -              125            -              21             
Penny               -              -              -              732            
Perla               -              452            -              -              
Persephone          -              -              -              689            
Peter               205            -              214            -              
Peyton              183            53             535            124            
Philip              409            -              494            -              
Phillip             350            -              575            -              
Phoebe              -              303            -              214            
Phoenix             381            573            261            317            
Pierce              479            -              570            -              
Piper               -              98             -              113            
Poppy               -              -              -              338            
Porter              430            -              506            -              
Presley             -              203            -              230            
Preston             129            -              255            -              
Prince              457            -              347            -              
Princess            -              -              -              970            
Princeton           735            -              497            -              
Priscilla           -              489            -              716            
Promise             -              -              -              782            
Quentin             440            -              654            -              
Quincy              633            -              665            -              
Quinn               321            153            443            73             
Quintin             811            -              -              -              
Quinton             526            -              757            -              
Rachael             -              889            -              -              
Rachel              -              133            -              244            
Raegan              -              294            -              324            
Raelyn              -              449            -              381            
Raelynn             -              341            -              100            
Rafael              286            -              232            -              
Raiden              529            -              352            -              
Raina               -              840            -              929            
Ramiro              826            -              -              -              
Ramon               497            -              775            -              
Ramona              -              -              -              794            
Randall             859            -              -              -              
Randy               413            -              913            -              
Raphael             626            -              483            -              
Raquel              -              626            -              -              
Rashad              832            -              -              -              
Raul                402            -              553            -              
Raven               -              543            -              409            
Ray                 722            -              761            -              
Raya                -              -              -              402            
Rayan               654            -              626            -              
Rayden              758            -              680            -              
Raylan              535            -              707            -              
Raylee              -              936            -              -              
Raymond             249            -              343            -              
Rayna               -              924            -              765            
Rayne               -              836            -              798            
Reagan              893            97             -              147            
Rebecca             -              157            -              296            
Rebekah             -              439            -              959            
Reece               485            -              528            -              
Reed                372            -              414            -              
Reese               549            128            642            168            
Regan               -              828            -              -              
Regina              -              581            -              348            
Reginald            657            -              -              -              
Reid                292            -              325            -              
Reign               -              -              650            365            
Reina               -              -              -              624            
Remi                -              -              742            118            
Remington           421            -              244            399            
Remy                891            -              356            601            
Renata              -              749            -              492            
Rene                742            -              962            -              
Renee               -              897            -              -              
Reuben              973            -              858            -              
Rex                 627            -              698            -              
Rey                 911            -              787            -              
Reyna               -              729            -              579            
Rhea                -              -              -              597            
Rhett               508            -              151            -              
Rhodes              -              -              922            -              
Rhys                476            -              426            -              
Ricardo             226            -              357            -              
Richard             124            -              219            -              
Ricky               462            -              834            -              
Ridge               -              -              532            -              
Riggs               -              -              705            -              
Rihanna             -              830            -              -              
Riley               133            47             225            39             
Rio                 -              -              561            -              
River               407            686            105            150            
Rivka               -              -              -              799            
Riya                -              984            -              -              
Robert              61             -              84             -              
Roberto             308            -              498            -              
Robin               -              -              795            861            
Rocco               415            -              513            -              
Rocky               -              -              888            -              
Roderick            984            -              -              -              
Rodney              592            -              985            -              
Rodolfo             923            -              -              -              
Rodrigo             431            -              529            -              
Rogelio             720            -              -              -              
Roger               566            -              749            -              
Rohan               602            -              816            -              
Roland              744            -              608            -              
Rolando             883            -              -              -              
Roman               159            -              68             -              
Rome                -              -              656            -              
Romeo               323            -              323            -              
Romina              -              -              -              656            
Ronald              379            -              559            -              
Ronan               456            -              266            -              
Ronin               771            -              421            -              
Ronnie              712            -              -              -              
Rory                481            -              280            335            
Rosa                -              614            -              605            
Rosalee             -              -              -              958            
Rosalia             -              -              -              595            
Rosalie             -              406            -              176            
Rosalina            -              -              -              925            
Rosalyn             -              -              -              938            
Rose                -              261            -              120            
Roselyn             -              849            -              824            
Rosemary            -              603            -              367            
Rosie               -              -              -              424            
Ross                960            -              -              -              
Rowan               301            455            96             276            
Rowen               887            -              522            -              
Rowyn               -              -              -              971            
Roy                 561            -              577            -              
Royal               -              -              370            864            
Royalty             -              -              -              427            
Royce               493            -              417            -              
Ruben               329            -              459            -              
Ruby                -              106            -              62             
Rudy                798            -              853            -              
Russell             426            -              374            -              
Ruth                -              344            -              179            
Ryan                26             607            74             582            
Ryann               -              789            -              975            
Ryatt               -              -              935            -              
Ryder               100            -              116            -              
Ryker               219            -              175            -              
Rylan               179            744            376            989            
Ryland              478            -              669            -              
Rylee               842            109            -              107            
Ryleigh             -              184            -              190            
Rylen               953            -              -              -              
Rylie               -              367            -              447            
Saanvi              -              898            -              978            
Sabrina             -              275            -              413            
Sadie               -              120            -              68             
Sage                725            494            391            144            
Saige               -              932            -              397            
Saint               -              -              361            -              
Salem               -              -              681            453            
Salma               -              785            -              894            
Salvador            548            -              708            -              
Salvatore           912            -              880            -              
Sam                 518            -              658            -              
Samantha            -              26             -              106            
Samara              -              570            -              299            
Samir               761            -              591            -              
Samira              -              -              -              778            
Samiyah             -              821            -              -              
Samson              803            -              585            -              
Samuel              25             -              20             -              
Sandra              -              679            -              -              
Saniya              -              880            -              -              
Saniyah             -              681            -              -              
Santana             -              -              690            -              
Santiago            122            -              48             -              
Santino             611            -              453            -              
Santos              954            -              874            -              
Saoirse             -              -              -              901            
Sapphire            -              -              -              910            
Sara                -              143            -              177            
Sarah               -              43             -              94             
Sarahi              -              971            -              963            
Sarai               -              414            -              428            
Sariah              -              649            -              902            
Sariyah             -              905            -              730            
Sasha               -              451            -              640            
Saul                414            -              510            -              
Savanna             -              447            -              746            
Savannah            -              42             -              76             
Sawyer              147            548            131            240            
Saylor              -              -              -              207            
Scarlet             -              401            -              433            
Scarlett            -              61             -              14             
Scarlette           -              956            -              962            
Scott               386            -              588            -              
Scottie             -              -              -              922            
Scout               -              -              -              693            
Seamus              839            -              -              -              
Sean                144            -              397            -              
Sebastian           64             -              13             -              
Selah               -              534            -              364            
Selena              -              304            -              239            
Selene              -              -              -              691            
Semaj               773            -              -              -              
Serena              -              443            -              386            
Serenity            -              58             -              96             
Sergio              283            -              382            -              
Seth                209            -              479            -              
Seven               -              -              754            -              
Sevyn               -              -              842            591            
Shane               248            -              511            -              
Shannon             -              816            -              -              
Sharon              -              822            -              -              
Shaun               629            -              -              -              
Shawn               272            -              568            -              
Shay                -              -              -              912            
Shayla              -              612            -              -              
Shelby              -              218            -              594            
Sheldon             944            -              -              -              
Shepard             -              -              914            -              
Shepherd            -              -              493            -              
Sherlyn             -              638            -              -              
Shiloh              -              640            488            344            
Shmuel              -              -              936            -              
Sidney              921            831            -              -              
Siena               -              630            -              720            
Sienna              -              241            -              135            
Sierra              -              278            -              551            
Silas               161            -              87             -              
Simeon              980            -              -              -              
Simon               255            -              242            -              
Simone              -              656            -              960            
Sincere             703            -              544            -              
Sky                 -              856            -              738            
Skye                -              448            -              416            
Skyla               -              509            -              757            
Skylar              569            87             -              87             
Skyler              290            372            670            541            
Sloan               -              978            -              636            
Sloane              -              480            -              140            
Sofia               -              18             -              13             
Sofie               -              996            -              -              
Sol                 -              -              -              837            
Soleil              -              -              -              990            
Solomon             441            -              440            -              
Sonia               -              812            -              -              
Sonny               927            -              429            -              
Sophia              -              1              -              5              
Sophie              -              52             -              63             
Soren               622            -              530            -              
Spencer             234            -              338            -              
Stanley             733            -              778            -              
Stefan              936            -              948            -              
Stella              -              62             -              40             
Stephanie           -              168            -              481            
Stephen             228            -              359            -              
Sterling            684            -              401            -              
Stetson             -              -              238            -              
Steve               762            -              -              -              
Steven              112            -              257            -              
Stevie              -              -              -              263            
Stone               -              -              982            -              
Stormi              -              -              -              818            
Sullivan            490            -              365            -              
Summer              -              176            -              153            
Sunny               -              -              -              552            
Susan               -              839            -              -              
Sutton              -              -              526            216            
Sydney              -              78             -              271            
Sylas               624            -              485            -              
Sylvia              -              526            -              435            
Sylvie              -              -              -              436            
Tabitha             -              771            -              -              
Tadeo               -              -              519            -              
Talia               -              388            -              303            
Taliyah             -              714            -              -              
Talon               517            -              931            -              
Tamia               -              937            -              -              
Tanner              178            -              410            -              
Tara                -              803            -              -              
Taraji              -              855            -              -              
Taryn               -              804            -              -              
Tate                391            -              234            -              
Tatiana             -              473            -              -              
Tatum               597            330            318            274            
Taylor              346            46             621            217            
Taytum              -              -              -              770            
Teagan              755            258            -              286            
Temperance          -              843            -              -              
Tenley              -              520            -              -              
Teo                 -              -              945            -              
Teresa              -              608            -              871            
Terrance            589            -              -              -              
Terrell             678            -              -              -              
Terrence            705            -              -              -              
Terry               543            -              975            -              
Tess                -              997            -              -              
Tessa               -              235            -              332            
Thaddeus            903            -              807            -              
Thalia              -              929            -              642            
Thatcher            -              -              965            -              
Thea                -              -              -              300            
Theo                794            -              99             -              
Theodora            -              -              -              694            
Theodore            197            -              10             -              
Thiago              862            -              106            -              
Thomas              63             -              45             -              
Tia                 -              966            -              -              
Tiana               -              444            -              661            
Tiffany             -              370            -              935            
Timothy             120            -              203            -              
Tinley              -              974            -              -              
Tinsley             -              -              -              916            
Titan               961            -              847            -              
Titus               360            -              362            -              
Tobias              516            -              276            -              
Toby                672            -              -              -              
Todd                892            -              -              -              
Tomas               658            -              691            -              
Tommy               631            -              729            -              
Tony                428            -              699            -              
Tori                -              675            -              -              
Trace               635            -              703            -              
Travis              212            -              383            -              
Treasure            -              -              -              761            
Trent               380            -              -              -              
Trenton             239            -              781            -              
Trevon              924            -              -              -              
Trevor              203            -              537            -              
Trey                393            -              646            -              
Trinity             -              93             -              310            
Tripp               645            -              437            -              
Tristan             89             -              226            -              
Tristen             359            -              -              -              
Tristian            673            -              -              -              
Tristin             800            -              -              -              
Triston             676            -              -              -              
Troy                259            -              477            -              
Tru                 -              -              644            948            
Truett              -              -              745            -              
Truman              929            -              -              -              
Trystan             978            -              -              -              
Tucker              185            -              197            -              
Turner              969            -              -              -              
Ty                  349            -              718            -              
Tyler               50             -              164            -              
Tyree               962            -              -              -              
Tyrell              948            -              -              -              
Tyrone              795            -              -              -              
Tyson               263            -              392            -              
Ulises              726            -              -              -              
Uriah               574            -              696            -              
Uriel               482            -              486            -              
Urijah              665            -              -              -              
Vada                -              -              -              851            
Valentin            897            -              803            -              
Valentina           -              165            -              56             
Valentino           812            -              509            -              
Valeria             -              148            -              146            
Valerie             -              169            -              148            
Valery              -              -              -              802            
Van                 850            -              949            -              
Vance               841            -              978            -              
Vanessa             -              122            -              311            
Vaughn              873            -              -              -              
Veda                -              -              -              892            
Vera                -              500            -              224            
Veronica            -              316            -              405            
Vicente             714            -              682            -              
Victor              135            -              213            -              
Victoria            -              28             -              43             
Vida                -              -              -              972            
Vienna              -              -              -              682            
Vihaan              646            -              900            -              
Vincent             104            -              123            -              
Vincenzo            746            -              683            -              
Violet              -              89             -              20             
Violeta             -              -              -              740            
Virginia            -              579            -              540            
Vivian              -              141            -              103            
Viviana             -              478            -              383            
Vivienne            -              322            -              306            
Wade                553            -              346            -              
Walker              411            -              78             -              
Wallace             -              -              966            -              
Walter              376            -              269            -              
Warren              473            -              335            -              
Watson              -              -              730            -              
Waverly             -              -              -              750            
Waylen              -              -              891            -              
Waylon              326            -              66             -              
Wayne               780            -              769            -              
Wells               -              -              466            -              
Wendy               -              768            -              -              
Wes                 -              -              798            -              
Wesley              155            -              70             -              
Wesson              -              -              923            -              
Westin              756            -              648            -              
Westley             -              -              719            -              
Weston              171            -              82             -              
Westyn              -              -              932            -              
Whitley             -              -              -              886            
Whitney             -              565            -              -              
Wilder              -              -              373            -              
Will                674            -              -              -              
Willa               -              723            -              396            
William             5              -              6              -              
Willie              643            -              -              -              
Willow              -              171            -              37             
Wilson              599            -              689            -              
Winnie              -              -              -              592            
Winona              -              -              -              980            
Winston             616            -              420            -              
Winter              -              772            -              304            
Wren                -              -              -              184            
Wrenlee             -              -              -              712            
Wrenley             -              -              -              284            
Wyatt               41             -              38             -              
Wylder              -              -              863            -              
Wynter              -              -              -              356            
Xander              216            -              199            -              
Xavi                867            -              -              -              
Xavier              81             -              100            -              
Ximena              -              214            -              143            
Xiomara             -              -              -              494            
Xyla                -              -              -              979            
Xzavier             614            -              -              -              
Yael                878            -              993            -              
Yahir               514            -              836            -              
Yahya               -              -              938            -              
Yamileth            -              796            -              867            
Yandel              974            -              -              -              
Yara                -              -              -              571            
Yareli              -              588            -              672            
Yaretzi             -              299            -              489            
Yaritza             -              776            -              -              
Yasmin              -              735            -              906            
Yehuda              933            -              773            -              
Yesenia             -              899            -              -              
Yisroel             -              -              970            -              
Yosef               716            -              666            -              
Yousef              888            -              906            -              
Yusuf               628            -              569            -              
Zachariah           437            -              533            -              
Zachary             68             -              166            -              
Zackary             507            -              -              -              
Zahir               -              -              850            -              
Zahra               -              957            -              606            
Zaid                937            -              659            -              
Zaiden              433            -              487            -              
Zain                713            -              556            -              
Zainab              -              -              -              917            
Zaire               964            -              495            -              
Zakai               -              -              710            -              
Zamir               -              -              833            -              
Zander              250            -              310            -              
Zane                224            -              258            -              
Zaniyah             -              810            -              812            
Zara                -              556            -              201            
Zaria               -              857            -              767            
Zariah              -              472            -              477            
Zariyah             -              781            -              596            
Zavier              817            -              943            -              
Zayd                -              -              731            -              
Zayden              229            -              186            -              
Zayla               -              -              -              834            
Zaylee              -              -              -              713            
Zayn                -              -              275            -              
Zayne               596            -              416            -              
Zechariah           661            -              989            -              
Zeke                874            -              610            -              
Zelda               -              -              -              669            
Zen                 -              -              911            -              
Zendaya             -              -              -              683            
Zev                 -              -              956            -              
Zhuri               -              -              -              843            
Zion                235            778            144            -              
